Satellite.Name,Op.Owner.Country,Operator.Owner,Users,Purpose,Type.of.Orbit,Perigee.km,Apogee.km,Inclination.deg,Period.min,Launch.Mass.kg,Dry.Mass.kg,Power.watts,Launch.Date,Expected.Lifetime,Contractor,Country.of.Contractor,Launch.Site,Launch.Vehicle,COSPAR.Number,NORAD.Number,Sat.Stock.Size,Record.Period,Eccentricity,Current.Official.Name.of.Satellite,Longitude.of.GEO..degrees.,Class.of.Orbit,Longitude.of.position.in.GEO,Satellite.Launch.Mass,Power,Country.Org.of.UN.Registry,Detailed.Purpose,Exp.Lifetime,Launch.Provider,Launch.Year,Launch.Month,Launch.Day,select,Sats.Per.Launch,LEO,MEO,Molniya,Elliptical,GSO,Orbit.Class,Price.Per.Vehicle
Galileo FOC FM3 (Galileo 7),ESA,European Space Agency,Commercial,Navigation/Global Positioning,NA,23516,23574,55,858.55,723,NA,NA,2015-03-27,12 yrs.,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-017A,40544,1305,2015-09-01,0.000969,NA,0,MEO,NA,NA,NA,NR (8/15),NA,NA,Starsem,2015,3,27,1,1,0,1,0,0,0,MEO,NA
"ATS-3 (Application Technology Satellite-3, ATS-C)",USA,"Satellite Command and Control Facility, Univ. of Miami",Government/Civil,Meteorological/Communications/Observation,"GEO, 105.76° W",35724,35848,12.53,1436.08,365,304,NA,1967-11-05,NA,Hughes Aircraft,USA,Cape Canaveral,Atlas,1967-111A,3029,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,1967,11,5,1,1,0,0,0,0,1,GSO,NA
Amsat-Oscar 7 (AO-7),USA,Amsat-NA,Civil,Amateur Radio,"LEO, Sun-sync.",1440,1460,101.7,114.9,29,NA,NA,1974-11-15,NA,Amsat-NA,USA,Vandenberg AFB,Delta 2310,1974-089B,7530,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,1974,11,15,1,1,1,0,0,0,0,LEO,NA
"LES 9 (Lincoln Experimental Satellite) (SESP P74-1B, ST 74-1B)",USA,US Air Force Space Command (AFSPC),Military/Civil,Communications/Technology Research,"GEO, 103.65° E",35676,35895,10.99,1436.06,461,NA,130,1976-03-15,5+ yrs.,MIT Lincoln Laboratories,USA,Cape Canaveral,Titan 3C,1976-023B,8747,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lockheed Martin,1976,3,15,1,1,0,0,0,0,1,GSO,NA
MARISAT-F2 (Maritime Communications Satellite C),USA,"Satellite Command and Control Facility, Univ. of Miami",Civil/Government,Maritime Communications,"GEO,  33.24° W",35781,35792,13.27,1436.12,362,NA,NA,1976-10-14,NA,Hughes Aircraft,USA,Cape Canaveral,Delta 2914,1976-101A,9478,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,1976,10,14,1,1,0,0,0,0,1,GSO,NA
"GOES 3 (Geostationary Operational Environmental Satellite, GOES C)",USA,"Satellite Command and Control Facility, Univ. of Miami",Civil/Government,Meteorology/Communications,"GEO, 101.57° W",35769,35803,13.56,1436.1,627,294,NA,1978-06-16,NA,Hughes Aircraft,USA,Cape Canaveral,Delta 2914,1978-062A,10953,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,1978,6,16,1,1,0,0,0,0,1,GSO,NA
"Esiafi-1 (Comstar D4, Parallax, Star Trail)",Tonga,Friendly Islands Satellite Communications Ltd. (Tongasat),Commercial/Government,Communications,"GEO, 70.46° E",35777,35790,12.2,1435.98,1516,NA,NA,1981-02-21, 7 yrs.,Hughes Space and Communications Group,USA,Cape Canaveral,Atlas-Centaur,1981-018A,12309,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,1981,2,21,1,1,0,0,0,0,1,GSO,NA
"TDRS-1 (Tracking and Data Relay Satellite, TDRS-A)",USA,"Satellite Command and Control Facility, Univ. of Miami",Civil/Government,Communications,"GEO, 48.47° W",35772,35800,11.75,1436.11,3180,1600,1800,1983-04-04,10 yrs.,TRW Defense and Space Systems Group,USA,Cape Canaveral,STS-6 (Challenger),1983-026B,13969,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NASA,1983,4,4,1,1,0,0,0,0,1,GSO,NA
Landsat 5,USA,NASA/US Geological Survey,Government,Earth Science,"LEO, Sun-sync.",694,701,98.2,98.72,1941,NA,NA,1984-03-01,3 yrs.,GE Astro Space,USA,Vandenberg AFB,Delta,1984-021A,14780,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,1984,3,1,1,1,1,0,0,0,0,LEO,NA
"UoSAT-2 (Oscar 11, UoSAT-Oscar 11)",United Kingdom,Surrey Satellite Technology Ltd. (SSTL),Civil,Technology Development,"LEO, Sun-sync.",677,695,98.2,98.49,70,NA,NA,1984-03-01,3 yrs.,Surrey Satellite Technology Ltd. (SSTL),United Kingdom,Vandenberg AFB,Thor Delta 3920,1984-021B,14781,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Douglas/Aerojet,1984,3,1,1,1,1,0,0,0,0,LEO,NA
FLTSATCOM-7 (USA 20),USA,US Navy,Military,Communications,NA,35766,35809,4.9,1436.17,2310,1884,NA,1986-12-05,5 yrs.,"TRW, Defense and Space Systems Group",USA,Cape Canaveral,Atlas-Centaur,1986-096A,17181,902,2009-07-01,0.00051,NA,-100.33,GEO,NA,NA,NA,NA,NA,NA,ULA,1986,12,5,1,1,0,0,0,0,1,GSO,NA
"GOES 7 (Geostationary Operational Environmental Satellite, GOES H)",USA,Peacesat (PanPacific Education and Communications Experiment by Satellite) (loaned by NOAA),Government/Civil,Meteorology/Communications,"GEO, 101.57° W",35769,35803,13.56,1436.1,627,294,NA,1987-02-26,NA,Hughes Aircraft,USA,Cape Canaveral,Delta 2914,1987-022A,17561,827,2006-09-21,0.000403,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,1987,2,26,1,1,0,0,0,0,1,GSO,NA
"TDRS-3 (Tracking and Data Relay Satellite, TDRS-C) ",USA,National Aeronautics and Space Administration (NASA),Government,Communications,"GEO, 84.54° E",35774,35799,7.85,1436.13,3180,1600,1800,1988-09-29,10 yrs.,TRW Defense and Space Systems Group,USA,Cape Canaveral,STS-26 (Discovery),1988-091B,19548,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NASA,1988,9,29,1,1,0,0,0,0,1,GSO,NA
Akebono (EXOS-D),Japan,"Institute of Space and Aeronautical Science, University of Tokyo",Civilian Research,Space Physics,Elliptical,264,5732,75.1,150.4,NA,294,NA,1989-02-21,1 yr.,"Institute of Space and Aeronautical Science, University of Tokyo",Japan,Kagoshima Space Center,Mu 3S2,1989-016A,19822,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JAXA,1989,2,21,1,1,0,0,0,1,0,0,NA
"TDRS-4 (Tracking and Data Relay Satellite, TDRS-D)",USA,National Aeronautics and Space Administration (NASA),Government,Communications,"GEO, 41.03° W",35767,35802,5.88,1436.03,3180,1600,1800,1989-03-13,10 yrs.,TRW Defense and Space Systems Group,USA,Cape Canaveral,STS-43 (Atlantis),1989-021B,19883,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NASA,1989,3,13,1,1,0,0,0,0,1,GSO,NA
Nadezhda 1 (COSPAS-4),Russia,Morsviazsputnik,Government,Navigation,LEO/I,960,1013,82.9,104.84,810,NA,NA,1989-07-04,NA,AKO Polyot,Russia,Plesetsk Cosmodrome,Kosmos C,1989-050A,20103,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roscosmos,1989,7,4,1,1,1,0,0,0,0,LEO,NA
"DSCS III-F4 (USA 44, DSCS III A-2) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,"GEO, 130° W",35786,35786,0,1436.1,1156,884,1240,1989-09-04,10 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2A,1989-069B,20203,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,1989,9,4,1,1,0,0,0,0,1,GSO,NA
FLTSATCOM-8 (USA 46),USA,US Navy,Military,Communications,NA,35745,35829,8.97,1436.13,2310,1884,NA,1989-09-25,5 yrs.,"TRW, Defense and Space Systems Group",USA,Cape Canaveral,Atlas-Centaur,1989-077A,20253,902,2009-07-01,0.000996,NA,-14.74,GEO,NA,NA,NA,NA,NA,NA,ULA,1989,9,25,1,1,0,0,0,0,1,GSO,NA
Intelsat 602 (Intelsat 6 F-2),Multinational,"Intelsat, Ltd.",Commercial,Communications,"GEO, 150.5° E",35764,35806,1.89,1436.05,4409,1910,2500,1989-10-27,13 yrs.,Hughes Space and Communications Group,USA,Guiana Space Center,Ariane ,1989-087A,20315,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,1989,10,27,1,1,0,0,0,0,1,GSO,NA
"Leasat 5 (Syncom IV-5, Leased Satellite F5)",Australia,Royal Australian Navy,Military,Communications,"GEO, 100.10° E",35784,35790,5.05,1436.14,3400,NA,1200,1990-01-09,10 yrs.,Hughes,USA,Kennedy Space Center,Space Shuttle,1990-002B,20410,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NASA,1990,1,9,1,1,0,0,0,0,1,GSO,NA
Spot 2 ,France/Belgium/Sweden,Spot Image,Commercial,Earth Observation,"LEO, Sun-sync.",824,825,98.7,101.39,1870,1210,800,1990-01-22,10 yrs.,Matra Marconi ,France,Guiana Space Center,Ariane 5,1990-005A,20436,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,1990,1,22,1,1,1,0,0,0,0,LEO,NA
"Intelsat 603 (Intelsat 6 F-3, IS-603)",Multinational,"Intelsat, Ltd./New Skies Satellites N.V. (shared capacity)",Commercial,Communications,"GEO, 340° E",35779,35794,1.33,1436.12,4200,2546,2500,1990-03-14,13 yrs.,Hughes Space and Communications Group,USA,Guiana Space Center,Ariane 44L,1990-021A,20523,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,1990,3,14,1,1,0,0,0,0,1,GSO,NA
Newsat-1 (Palapa B2R),USA,"Newsat-USA, Inc.",Commercial,Communications,"GEO, 42.52° E",35800,35864,0,1438.41,1200,650,1000,1990-04-13,8 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Delta 6925,1990-034A,20570,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,1990,4,13,1,1,0,0,0,0,1,GSO,NA
"Hubble Space Telescope (HST, Space Telescope)",ESA/USA,European Space Agency/NASA,Civil,Astrophysics/Planetary Science,LEO/I,611,620,28.4,97.01,11110,NA,2400,1990-04-25,10 yrs.,European Space Agency/NASA,International,Cape Canaveral,Space Shuttle (STS 31),1990-037B,20580,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NASA,1990,4,25,1,1,1,0,0,0,0,LEO,NA
"SB-WASS 2-1 (Space Based Wide Area Surveillance System (NOSS 2-1, SSU 2, USA 61)",USA,National Reconnaissance Office/US Navy,Military,Electronic Surveillance/Ocean,LEO/I,1071,1146,63.4,107.44,NA,NA,NA,1990-06-08,NA,Martin Marietta Astrospace,USA,Vandenberg AFB,Titan 4,1990-050C,20691,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lockheed Martin,1990,6,8,1,4,1,0,0,0,0,LEO,NA
"SB-WASS 2-1 (Space Based Wide Area Surveillance System) (NOSS 2-1, SSU 1, USA 60)",USA,National Reconnaissance Office/US Navy,Military,Electronic Surveillance/Ocean,LEO/I,1071,1146,63.4,107.44,NA,NA,NA,1990-06-08,NA,Martin Marietta Astrospace,USA,Vandenberg AFB,Titan 4,1990-050B,20682,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lockheed Martin,1990,6,8,1,4,1,0,0,0,0,LEO,NA
"SB-WASS 2-1 (Space Based Wide Area Surveilliance System) (NOSS 2-1, SSU 3, USA 62)",USA,National Reconnaissance Office/US Navy,Military,Electronic Surveillance/Ocean,LEO/I,1071,1146,63.4,107.44,NA,NA,NA,1990-06-08,NA,Martin Marietta Astrospace,USA,Vandenberg AFB,Titan 4,1990-050D,20692,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lockheed Martin,1990,6,8,1,4,1,0,0,0,0,LEO,NA
SLDCOM-1 (Satellite Launch Dispenser Communications System) (USA 59),USA,National Reconnaissance Office (NRO),Military,Communications,Elliptical,1200,11600,63.4,240,NA,NA,NA,1990-06-08,NA,National Reconnaissance Laboratory,USA,Vandenberg AFB,Titan 4,1990-050A,20641,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lockheed Martin,1990,6,8,1,4,0,0,0,1,0,0,NA
Intelsat 604 (Intelsat 6 F-4),Multinational,"Intelsat, Ltd.",Commercial,Communications,"GEO, 157.04° E",35778,35794,1.62,1436.1,4200,2546,2500,1990-06-23,13 yrs.,Hughes Space and Communications Group,USA,Cape Canaveral,Titan 3,1990-056A,20667,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lockheed Martin,1990,6,23,1,1,0,0,0,0,1,GSO,NA
Skynet 4C ,United Kingdom,Ministry of Defence,Military,Communications,GEO 1.11° W,35780,35792,5.49,1436.09,1474,NA,NA,1990-08-30,7 yrs.,Astrium,France/UK/Germany,Guiana Space Center,Ariane 44LP,1990-079A,20776,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,1990,8,30,1,1,0,0,0,0,1,GSO,NA
"Navstar GPS 15 (Navstar SVN 15, GPS 2-9, USA 64)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,19972,20391,54.9,717.95,1816,844,800,1990-10-01,7.8 yrs.,Lockheed Martin,USA,Cape Canaveral,Delta 2,1990-088A,20830,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,1990,10,1,1,1,0,1,0,0,0,MEO,NA
SBS-6 (Satellite Business System 6),USA,PanAmSat,Commercial,Communications,"GEO, 74.06° W",35781,35791,0.01,1436.11,2478,1510,2300,1990-10-12,10 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,1990-091A,20872,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,1990,10,12,1,1,0,0,0,0,1,GSO,NA
INMARSAT 2 F1 (Inter. Maritime Sat-2 F1),Multinational,"INMARSAT, Ltd.",Commercial,Communications,"GEO, 143.47° E",35763,35810,2.16,1436.12,1382,NA,1200,1990-10-30,10 yrs.,Matra Marconi Space,France,Cape Canaveral,Delta,1990-093A,20918,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,1990,10,30,1,1,0,0,0,0,1,GSO,NA
"Orion/Magnum 3 (SDS B-2, USA 67)",USA,National Reconnaissance Office (NRO),Military,Surveillance,"GEO, 99.16° W",35786,35786,0,1436.27,9528,NA,NA,1990-11-15,NA,TRW Space and Electronics,USA,Cape Canaveral,Shuttle (STS 38),1990-097B,20963,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NASA,1990,11,15,1,1,0,0,0,0,1,GSO,NA
"Navstar GPS 23 (Navstar SVN 23, GPS 2-10, USA 66)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,19781,20582,55.78,717.94,1816,844,700,1990-11-26,7.5 yrs.,Rockwell International,USA,Cape Canaveral,Delta 2,1990-103A,20959,872,2008-01-07,0.0151,USA 66,NA,NA,NA,NA,NA,NA,NA,NA,ULA,1990,11,26,1,1,0,1,0,0,0,MEO,NA
NATO 4-A ,Multinational,NATO (North Atlantic Treaty Organization) (controlled by UK Ministry of Defence),Military,Communications,"GEO, 17.79° W",35772,35800,4.95,1436.09,1430,660,1200,1991-01-08,7 yrs.,Matra Marconi,France,Cape Canaveral,Delta 2,1991-001A,21047,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,1991,1,8,1,1,0,0,0,0,1,GSO,NA
Eutelsat-II F2 ,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,"GEO, 48.58° E",35773,35796,3.54,1436.02,1877,985,3000,1991-01-15,9 yrs.,Aerospatiale (Alcatel Space Industries),France,Cape Canaveral,Delta 4,1991-003B,21056,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,1991,1,15,1,1,0,0,0,0,1,GSO,NA
Astra 1B ,Luxembourg,SES Astra (part of SES Global) (Societe Europienne des Satellites [SES]),Commercial,Communications,"GEO, 19.21° E",35773,35798,0.01,1436.08,2617,1582,3400,1991-03-02,12+ yrs.,GE Astro Space,USA,Guiana Space Center,Ariane 44LP,1991-015A,21139,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,1991,3,2,1,1,0,0,0,0,1,GSO,NA
Meteosat 5 (MOP 2),Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Science/Meteorology,"GEO, 62.69° E",35784,35789,6.37,1436.11,696,320,200,1991-03-02,5 yrs.,Aerospatiale,France,Guiana Space Center,Ariane 5,1991-015B,21140,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,1991,3,2,1,1,0,0,0,0,1,GSO,NA
INMARSAT 2 F2 ,Multinational,"INMARSAT, Ltd.",Commercial,Communications,"GEO, 98.04° W",35767,35805,1.67,1436.09,1382,NA,1200,1991-03-08,10 yrs.,Matra Marconi Space,France,Cape Canaveral,Delta,1991-018A,21149,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,1991,3,8,1,1,0,0,0,0,1,GSO,NA
"Lacrosse/Onyx 2 (Lacrosse-2, USA 69)",USA,National Reconnaissance Office (NRO),Military,Surveillance,LEO/I,672,676,68,98.22,14500,NA,NA,1991-03-08,5 yrs.,Lockheed Martin Astronautics,USA,Vandenberg AFB,Titan 4,1991-017A,21147,847,2007-04-09,0.000284,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lockheed Martin,1991,3,8,1,1,1,0,0,0,0,LEO,NA
Anik E2 (Telesat 10),Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,"GEO, 118.74° W",35774,35799,0.58,1436.11,2930,1761,NA,1991-04-04,10 yrs.,Lockheed Martin,USA,Guiana Space Center,Ariane 44P,1991-026A,21222,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,1991,4,4,1,1,0,0,0,0,1,GSO,NA
"Spacenet 4 (SN4, ASC 2)",USA/Japan,Worldsat (SES Americom; SES Global)/Space Communications Corp.,Commercial,Communications,"GEO, 171.97° E",35776,35796,0.16,1436.1,1347,NA,1200,1991-04-13,10 yrs.,American Satellite Company,USA,Cape Canaveral,Delta 2,1991-028A,21227,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,1991,4,13,1,1,0,0,0,0,1,GSO,NA
NOAA-12 (NOAA-D),USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Government,Earth Science/Meteorology,"LEO, Sun-sync.",810,830,98.7,101.29,2229,1500,830,1991-05-14,NA,General Electric Astro Space,USA,Vandenberg AFB,Atlas-E,1991-032A,21263,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,1991,5,14,1,1,1,0,0,0,0,LEO,NA
Aurora 2 (Satcom C5),USA,Alascom Inc. (AT&T) shared with GE Americom,Commercial,Communications,"GEO, 173.12° E",36122,36162,1.97,1454.32,1336,NA,NA,1991-05-29,12 yrs.,GE Astro Space,USA,Cape Canaveral,Delta 7925,1991-037A,21392,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,1991,5,29,1,1,0,0,0,0,1,GSO,NA
"Navstar GPS 24 (Navstar SVN 24, GPS II-2, USA 71)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,20085,20274,55.1,717.87,1816,844,800,1991-07-04,7.5 yrs.,Rockwell International,USA,Cape Canaveral,Delta 2,1991-047A,21552,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,1991,7,4,1,1,0,1,0,0,0,MEO,NA
"UoSAT-5 (Oscar 22, UoSAT-Oscar 22)",United Kingdom,Surrey Satellite Technology Ltd. (SSTL),Civil,Technology Development,"LEO, Sun-sync.",768,777,98.5,100.29,49,NA,NA,1991-07-17,3 yrs.,Surrey Satellite Technology Ltd. (SSTL),United Kingdom,Guiana Space Center,Ariane,1991-050B,21575,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,1991,7,17,1,1,1,0,0,0,0,LEO,NA
Tubsat-A,Germany,Technical University of Berlin,Civil,Research,"LEO, Sun-sync.",760,768,98.19,100.12,38,NA,NA,1991-07-17,NA,Technical University of Berlin/Institut fuer Luft- und Raumfahrttechnik ,Germany,Guiana Space Center,Ariane 4,1991-050D,21577,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,1991,7,17,1,1,1,0,0,0,0,LEO,NA
"TDRS-5 (Tracking and Data Relay Satellite, TDRS-E)",USA,SES Americom (SES Global),Government/Commercial,Communications,"GEO, 174.24° W",35776,35796,5.08,1436.11,3180,1600,1800,1991-08-02,10 yrs.,TRW Defense and Space Systems Group,USA,Cape Canaveral,Shuttle (STS 43),1991-054B,21639,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NASA,1991,8,2,1,1,0,0,0,0,1,GSO,NA
Intelsat 605,Multinational,"Intelsat, Ltd.",Commercial,Communications,"GEO, 174° E",35783,35788,0.01,1436.07,4200,2546,2500,1991-08-14,10 yrs.,Hughes Space and Communications Group,USA,Cape Canaveral,Titan 3,1991-055A,21653,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lockheed Martin,1991,8,14,1,1,0,0,0,0,1,GSO,NA
Anik E1 (Telesat 11),Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,"GEO, 109.16° W",35768,35804,0.6,1436.11,2930,1761,NA,1991-09-26,14 yrs.,Hughes Space and Communications Group,USA,Guiana Space Center,Ariane 44P,1991-067A,21726,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,1991,9,26,1,1,0,0,0,0,1,GSO,NA
Intelsat 601 (Intelsat 6 F-1),Multinational,"Intelsat, Ltd.",Commercial,Communications,"GEO, 64.20° E",35770,35803,0,1436.13,4200,2546,2500,1991-10-29,13 yrs.,Ford Aerospace,USA,Cape Canaveral,Atlas Centaur,1991-075A,21765,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,1991,10,29,1,1,0,0,0,0,1,GSO,NA
"SB-WASS 2-2 (Space Based Wide Area Surveillance System) (NOSS 2-2, SSU 1, USA 74)",USA,National Reconnaissance Office/US Navy,Military,Electronic Surveillance/Ocean,LEO/I,1052,1164,63.4,107.43,NA,NA,NA,1991-11-08,NA,Martin Marietta Astrospace,USA,Vandenberg AFB,Titan 4,1991-076C,21799,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lockheed Martin,1991,11,8,1,4,1,0,0,0,0,LEO,NA
"SB-WASS 2-2 (Space Based Wide Area Surveillance System) (NOSS 2-2, SSU 2, USA 76)",USA,National Reconnaissance Office/US Navy,Military,Electronic Surveillance/Ocean,LEO/I,1041,1175,63.4,107.44,NA,NA,NA,1991-11-08,NA,Martin Marietta Astrospace,USA,Vandenberg AFB,Titan 4,1991-076D,21808,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lockheed Martin,1991,11,8,1,4,1,0,0,0,0,LEO,NA
"SB-WASS 2-2 (Space Based Wide Area Surveillance System) (NOSS 2-2, SSU 3, USA 77)",USA,National Reconnaissance Office/US Navy,Military,Electronic Surveillance/Ocean,LEO/I,1051,1165,63.4,107.43,NA,NA,NA,1991-11-08,NA,Martin Marietta Astrospace,USA,Vandenberg AFB,Titan 4,1991-076E,21809,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lockheed Martin,1991,11,8,1,4,1,0,0,0,0,LEO,NA
SLDCOM-2 (Satellite Launch Dispenser Communications System) (USA 72),USA,National Reconnaissance Office (NRO),Military,Communications,Elliptical,1200,11600,63.4,240,NA,NA,NA,1991-11-08,NA,National Reconnaissance Laboratory,USA,Vandenberg AFB,Titan 4,1991-076A,21775,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lockheed Martin,1991,11,8,1,4,0,0,0,1,0,0,NA
"DSP F16 (DSP 16, USA 72) (Defense Support Program)",USA,Air Force,Military,Early Warning,"GEO, 40.28° W",35861,35868,4.49,1440.1,2380,NA,1485,1991-11-24,7-9 yrs.,TRW and Aerojet Electronics Systems,USA,Cape Canaveral,Shuttle (STS 44),1991-080B,21805,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NASA,1991,11,24,1,1,0,0,0,0,1,GSO,NA
Eutelsat-II F3 ,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,"GEO, 21.52° E",35778,35796,3.42,1436.13,1878,985,3000,1991-12-07,9 yrs.,Aerospatiale (Alcatel Space Industries),France,Guiana Space Center,Ariane 42LP,1991-083A,21803,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,1991,12,7,1,1,0,0,0,0,1,GSO,NA
Telecom 2A ,Multinational,European Telecommunications Satellite Consotium (EUTELSAT) - leased from France Telecom,Commercial/Military,Communications,"GEO, 2.96° E",35766,35806,2.3,1436.08,2275,1100,NA,1991-12-16,10 yrs.,Matra Marconi Space (Astrium),France,Guiana Space Center,Ariane,1991-084A,21813,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,1991,12,16,1,1,0,0,0,0,1,GSO,NA
INMARSAT 2 F3 ,Multinational,"INMARSAT, Ltd.",Commercial,Communications,"GEO, 142.07° W",35776,35797,1.78,1436.1,1310,690,1200,1991-12-16,10 yrs.,Matra Marconi Space,France,Guiana Space Center,Ariane 44L,1991-084B,21814,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arianespace,1991,12,16,1,1,0,0,0,0,1,GSO,NA
"DSCS III-F5 (USA 78, DSCS III B-14) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO 45° W,35786,35786,0,1436.1,1156,884,1240,1992-02-11,10 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 34D,1992-006A,21873,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lockheed Martin,1992,2,11,1,1,0,0,0,0,1,GSO,NA
"Navstar GPS 25 (Navstar SVN 25, GPS 2A-2, USA 79)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,20018,20343,54.7,717.91,1816,844,800,1992-02-23,7.5 yrs.,Rockwell International,USA,Cape Canaveral,Delta 2,1992-009A,21890,810,2005-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ULA,1992,2,23,1,1,0,1,0,0,0,MEO,NA
